1,"canExfiltrateData(attacker,victimHost,pupyC2Server,reversePupy,privateDocuments)","OR",0
2,"RULE 0 (Asset - Able to exfiltrate data from host using C2 channel)","AND",0
3,"exfiltrationOverC2Channel(attacker,victimHost,pupyC2Server,reversePupy,privateDocuments)","OR",0
4,"RULE 1 (T1041 - Exfiltration Over C2 Channel)","AND",0
5,"localAccess(attacker,pupyC2Server,root)","OR",0
6,"RULE 57 (BB - An user who is located in a host has root access to that host)","AND",0
7,"located(attacker,pupyC2Server)","LEAF",1
8,"dataFlow(victimHost,pupyC2Server,reversePupy,_)","OR",0
9,"RULE 29 (BB - Data flow initiated by script)","AND",0
10,"canScriptAccessHost(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","OR",0
11,"RULE 30 (BB - Script access an exposed service)","AND",0
12,"networkServiceInfo(pupyC2Server,root,pupyd,http,1234)","LEAF",1
13,"accessFile(victimUser,victimHost,exec,'/home/victimAccount/3aka3.doc')","OR",0
14,"RULE 37 (BB - execCode implies file access)","AND",0
15,"canAccessFile(victimHost,victimAccount,exec,'/home/victimAccount/3aka3.doc')","OR",0
16,"RULE 39 (BB - A legitimate account can access file)","AND",0
17,"localFileProtection(victimHost,victimAccount,exec,'/home/victimAccount/3aka3.doc')","OR",0
18,"RULE 40 (BB - owner file access)","AND",0
19,"ownerAccessible(victimHost,exec,'/home/victimAccount/3aka3.doc')","OR",0
20,"RULE 49 (BB - owner file access)","AND",0
21,"fileAttr(victimHost,'/home/victimAccount/3aka3.doc',-,r,w,x,-,-,-,-,-,-)","LEAF",1
22,"fileOwner(victimHost,victimAccount,'/home/victimAccount/3aka3.doc')","LEAF",1
23,"execCode(victimUser,victimHost,victimAccount)","OR",0
24,"RULE 38 (BB - A User can execute code using his account on a specific host)","AND",0
25,"hasAccount(victimUser,victimHost,victimAccount)","LEAF",1
26,"scriptNetAccess(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","OR",0
27,"RULE 31 (BB - Direct script network access)","AND",0
28,"isNetScript(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","LEAF",1
29,"aclNW(victimHost,pupyC2Server,http,1234)","LEAF",1
30,"canCollectData(attacker,victimHost,privateDocuments)","OR",0
31,"RULE 6 (Asset - Able to read data on host)","AND",0
32,"dataFromLocalSystem(attacker,victimHost,privateDocuments)","OR",0
33,"RULE 7 (T1005 - Data from Local System)","AND",0
34,"accessFile(attacker,victimHost,read,'/private/secret1.doc')","OR",0
35,"RULE 37 (BB - execCode implies file access)","AND",0
36,"canAccessFile(victimHost,_,read,'/private/secret1.doc')","OR",0
37,"RULE 39 (BB - A legitimate account can access file)","AND",0
38,"localFileProtection(victimHost,_,read,'/private/secret1.doc')","OR",0
39,"RULE 42 (BB - world file access)","AND",0
40,"worldAccessible(victimHost,read,'/private/secret1.doc')","OR",0
41,"RULE 45 (BB - world file access)","AND",0
42,"fileAttr(victimHost,'/private/secret1.doc',-,-,-,-,-,-,-,r,w,x)","LEAF",1
43,"execCode(attacker,victimHost,_)","OR",0
44,"RULE 23 (BB - User is able to use a reverse shell)","AND",0
45,"canAccessFile(victimHost,_,exec,'/bin/cat')","OR",0
46,"RULE 39 (BB - A legitimate account can access file)","AND",0
47,"localFileProtection(victimHost,_,exec,'/bin/cat')","OR",0
48,"RULE 42 (BB - world file access)","AND",0
49,"worldAccessible(victimHost,exec,'/bin/cat')","OR",0
50,"RULE 51 (BB - world file access)","AND",0
51,"fileAttr(victimHost,'/bin/cat',-,r,w,x,-,-,-,r,w,x)","LEAF",1
52,"accessDataFlow(attacker,write,reversePupy)","OR",0
53,"RULE 24 (BB - The remote root user has write access to the dataFlow)","AND",0
54,"dataFlowReverseShell(reversePupy)","OR",0
55,"RULE 25 (BB - Reverse shell data flow)","AND",0
56,"isReverseShell(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc')","LEAF",1
57,"flowBind(reversePupy,http,1234)","OR",0
58,"RULE 28 (BB - Flow associated port and protocol)","AND",0
59,"RULE 23 (BB - User is able to use a reverse shell)","AND",0
60,"canAccessFile(victimHost,_,exec,'/bin/find')","OR",0
61,"RULE 39 (BB - A legitimate account can access file)","AND",0
62,"localFileProtection(victimHost,_,exec,'/bin/find')","OR",0
63,"RULE 42 (BB - world file access)","AND",0
64,"worldAccessible(victimHost,exec,'/bin/find')","OR",0
65,"RULE 51 (BB - world file access)","AND",0
