1,"abuseEventTriggeredExec(attacker,victimHost)","OR",0
2,"RULE 0 (Asset - Able to abuse OS event triggered execution)","AND",0
3,"eventTriggeredExecution(attacker,victimHost)","OR",0
4,"RULE 2 (T1546 - Event Triggered Execution)","AND",0
5,"eventTriggeredExecutionUnixShell(attacker,victimHost)","OR",0
6,"RULE 3 (T1546.004 - Event Triggered Execution - Unix Shell Configuration Modification)","AND",0
7,"isUnixLoginScript(victimHost,'/home/victimAccount/.bash_login')","LEAF",1
8,"accessFile(attacker,victimHost,write,'/home/victimAccount/.bash_login')","OR",0
9,"RULE 49 (BB - execCode implies file access)","AND",0
10,"canAccessFile(victimHost,victimAccount,write,'/home/victimAccount/.bash_login')","OR",0
11,"RULE 51 (BB - A legitimate account can access file)","AND",0
12,"localFileProtection(victimHost,victimAccount,write,'/home/victimAccount/.bash_login')","OR",0
13,"RULE 52 (BB - owner file access)","AND",0
14,"ownerAccessible(victimHost,write,'/home/victimAccount/.bash_login')","OR",0
15,"RULE 58 (BB - owner file access)","AND",0
16,"fileAttr(victimHost,'/home/victimAccount/.bash_login',-,r,w,x,r,w,x,-,-,-)","LEAF",1
17,"fileOwner(victimHost,victimAccount,'/home/victimAccount/.bash_login')","LEAF",1
18,"RULE 53 (BB - group file access)","AND",0
19,"groupAccessible(victimHost,write,'/home/victimAccount/.bash_login')","LEAF",1
20,"fileGroupOwner(victimHost,'/home/victimAccount/.bash_login',victimGroup)","LEAF",1
21,"inGroup(victimAccount,victimGroup)","LEAF",1
22,"execCode(attacker,victimHost,victimAccount)","OR",0
23,"RULE 35 (BB - User is able to use a reverse shell)","AND",0
24,"canAccessFile(victimHost,victimAccount,exec,'/bin/bash')","OR",0
25,"RULE 51 (BB - A legitimate account can access file)","AND",0
26,"localFileProtection(victimHost,victimAccount,exec,'/bin/bash')","OR",0
27,"RULE 53 (BB - group file access)","AND",0
28,"groupAccessible(victimHost,exec,'/bin/bash')","LEAF",1
29,"fileGroupOwner(victimHost,'/bin/bash',victimGroup)","LEAF",1
30,"accessDataFlow(attacker,write,reversePupy)","OR",0
31,"RULE 36 (BB - The remote root user has write access to the dataFlow)","AND",0
32,"dataFlowReverseShell(reversePupy)","OR",0
33,"RULE 37 (BB - Reverse shell data flow)","AND",0
34,"isReverseShell(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc')","LEAF",1
35,"flowBind(reversePupy,http,1234)","OR",0
36,"RULE 40 (BB - Flow associated port and protocol)","AND",0
37,"canScriptAccessHost(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","OR",0
38,"RULE 42 (BB - Script access an exposed service)","AND",0
39,"networkServiceInfo(pupyC2Server,root,pupyd,http,1234)","LEAF",1
40,"accessFile(victimUser,victimHost,exec,'/home/victimAccount/3aka3.doc')","OR",0
41,"RULE 49 (BB - execCode implies file access)","AND",0
42,"canAccessFile(victimHost,victimAccount,exec,'/home/victimAccount/3aka3.doc')","OR",0
43,"RULE 51 (BB - A legitimate account can access file)","AND",0
44,"localFileProtection(victimHost,victimAccount,exec,'/home/victimAccount/3aka3.doc')","OR",0
45,"RULE 52 (BB - owner file access)","AND",0
46,"ownerAccessible(victimHost,exec,'/home/victimAccount/3aka3.doc')","OR",0
47,"RULE 61 (BB - owner file access)","AND",0
48,"fileAttr(victimHost,'/home/victimAccount/3aka3.doc',-,r,w,x,-,-,-,-,-,-)","LEAF",1
49,"fileOwner(victimHost,victimAccount,'/home/victimAccount/3aka3.doc')","LEAF",1
50,"execCode(victimUser,victimHost,victimAccount)","OR",0
51,"RULE 50 (BB - A User can execute code using his account on a specific host)","AND",0
52,"hasAccount(victimUser,victimHost,victimAccount)","LEAF",1
53,"scriptNetAccess(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","OR",0
54,"RULE 43 (BB - Direct script network access)","AND",0
55,"isNetScript(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","LEAF",1
56,"aclNW(victimHost,pupyC2Server,http,1234)","LEAF",1
57,"dataFlow(victimHost,pupyC2Server,reversePupy,_)","OR",0
58,"RULE 41 (BB - Data flow initiated by script)","AND",0
59,"localAccess(attacker,pupyC2Server,root)","OR",0
60,"RULE 69 (BB - An user who is located in a host has root access to that host)","AND",0
61,"located(attacker,pupyC2Server)","LEAF",1
62,"RULE 35 (BB - User is able to use a reverse shell)","AND",0
63,"canAccessFile(victimHost,victimAccount,exec,'/bin/powershell')","OR",0
64,"RULE 51 (BB - A legitimate account can access file)","AND",0
65,"localFileProtection(victimHost,victimAccount,exec,'/bin/powershell')","OR",0
66,"RULE 52 (BB - owner file access)","AND",0
67,"ownerAccessible(victimHost,exec,'/bin/powershell')","OR",0
68,"RULE 61 (BB - owner file access)","AND",0
69,"fileAttr(victimHost,'/bin/powershell',-,r,w,x,-,-,-,-,-,-)","LEAF",1
70,"fileOwner(victimHost,victimAccount,'/bin/powershell')","LEAF",1
71,"RULE 35 (BB - User is able to use a reverse shell)","AND",0
72,"canAccessFile(victimHost,victimAccount,exec,'/home/victimAccount/.bash_login')","OR",0
73,"RULE 51 (BB - A legitimate account can access file)","AND",0
74,"localFileProtection(victimHost,victimAccount,exec,'/home/victimAccount/.bash_login')","OR",0
75,"RULE 52 (BB - owner file access)","AND",0
76,"ownerAccessible(victimHost,exec,'/home/victimAccount/.bash_login')","OR",0
77,"RULE 61 (BB - owner file access)","AND",0
78,"RULE 53 (BB - group file access)","AND",0
79,"groupAccessible(victimHost,exec,'/home/victimAccount/.bash_login')","LEAF",1
80,"RULE 35 (BB - User is able to use a reverse shell)","AND",0
81,"RULE 35 (BB - User is able to use a reverse shell)","AND",0
82,"canAccessFile(victimHost,victimAccount,exec,'/private')","OR",0
83,"RULE 51 (BB - A legitimate account can access file)","AND",0
84,"localFileProtection(victimHost,victimAccount,exec,'/private')","OR",0
85,"RULE 52 (BB - owner file access)","AND",0
86,"ownerAccessible(victimHost,exec,'/private')","OR",0
87,"RULE 61 (BB - owner file access)","AND",0
88,"fileAttr(victimHost,'/private',d,r,w,x,r,-,x,r,-,x)","LEAF",1
89,"fileOwner(victimHost,victimAccount,'/private')","LEAF",1
90,"RULE 53 (BB - group file access)","AND",0
91,"groupAccessible(victimHost,exec,'/private')","LEAF",1
92,"fileGroupOwner(victimHost,'/private',victimGroup)","LEAF",1
93,"malicious(attacker)","LEAF",1
