1,"canDiscoverLocalGroupsPermissions(attacker,victimHost)","OR",0
2,"RULE 1 (Asset - Able to discover local groups permissions)","AND",0
3,"permissionGroupsDiscoveryLocalGroups(attacker,victimHost)","OR",0
4,"RULE 3 (T1069.001 - Permission Groups Discovery - Local Groups)","AND",0
5,"isGroupDiscoverUtil(groups)","LEAF",1
6,"canRunInstalledSoftware(attacker,victimHost,'/bin/groups',groups)","OR",0
7,"RULE 76 (BB - User is able to run installed software)","AND",0
8,"accessFile(attacker,victimHost,exec,'/bin/groups')","OR",0
9,"RULE 91 (BB - execCode implies file access)","AND",0
10,"canAccessFile(victimHost,_,exec,'/bin/groups')","OR",0
11,"RULE 93 (BB - A legitimate account can access file)","AND",0
12,"localFileProtection(victimHost,_,exec,'/bin/groups')","OR",0
13,"RULE 96 (BB - world file access)","AND",0
14,"worldAccessible(victimHost,exec,'/bin/groups')","OR",0
15,"RULE 105 (BB - world file access)","AND",0
16,"fileAttr(victimHost,'/bin/groups',-,r,w,x,-,-,-,r,w,x)","LEAF",1
17,"execCode(attacker,victimHost,_)","OR",0
18,"RULE 77 (BB - User is able to use a reverse shell)","AND",0
19,"canAccessFile(victimHost,_,exec,'/bin')","OR",0
20,"RULE 93 (BB - A legitimate account can access file)","AND",0
21,"localFileProtection(victimHost,_,exec,'/bin')","OR",0
22,"RULE 96 (BB - world file access)","AND",0
23,"worldAccessible(victimHost,exec,'/bin')","OR",0
24,"RULE 105 (BB - world file access)","AND",0
25,"fileAttr(victimHost,'/bin',d,r,w,x,r,-,x,r,-,x)","LEAF",1
26,"accessDataFlow(attacker,write,reversePupy)","OR",0
27,"RULE 78 (BB - The remote root user has write access to the dataFlow)","AND",0
28,"dataFlowReverseShell(reversePupy)","OR",0
29,"RULE 79 (BB - Reverse shell data flow)","AND",0
30,"isReverseShell(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc')","LEAF",1
31,"flowBind(reversePupy,http,1234)","OR",0
32,"RULE 82 (BB - Flow associated port and protocol)","AND",0
33,"canScriptAccessHost(victimHost,pupyC2Server,'/home/victimAccount/3aka3.doc',reversePupy,http,1234)","OR",0
34,"RULE 84 (BB - Script access an exposed service)","AND",0
35,"networkServiceInfo(pupyC2Server,root,pupyd,http,1234)","LEAF",1
36,"accessFile(victimUser,victimHost,exec,'/home/victimAccount/3aka3.doc')","OR",0
37,"RULE 91 (BB - execCode implies file access)","AND",0
38,"canAccessFile(victimHost,victimAccount,exec,'/home/victimAccount/3aka3.doc')","OR",0
39,"RULE 93 (BB - A legitimate account can access file)","AND",0
40,"localFileProtection(victimHost,victimAccount,exec,'/home/victimAccount/3aka3.doc')","OR",0
41,"RULE 94 (BB - owner file access)","AND",0
42,"ownerAccessible(victimHost,exec,'/home/victimAccount/3aka3.doc')","OR",0
43,"RULE 103 (BB - owner file access)","AND",0
44,"fileAttr(victimHost,'/home/victimAccount/3aka3.doc',-,r,w,x,-,-,-,-,-,-)","LEAF",1
45,"fileOwner(victimHost,victimAccount,'/home/victimAccount/3aka3.doc')","LEAF",1
46,"execCode(victimUser,victimHost,victimAccount)","OR",0
47,"RULE 92 (BB - A User can execute code using his account on a specific host)","AND",0
